# ----------------------------------------
# All Web Site Data
# Pages
# 20130625-20140804
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/index.php,"21,526","16,000",00:01:09,"12,674",33.60%,31.01%,Rs.0.00
/index.php?section=Computer Science and Engg.,"13,688","8,104",00:01:26,925,41.19%,30.11%,Rs.0.00
/labs/cse01/index.php?section=List of experiments,"8,887","4,900",00:00:23,308,23.05%,5.00%,Rs.0.00
/labs/cse01/index.php,"8,490","5,526",00:00:35,"3,339",10.99%,10.13%,Rs.0.00
/labs/cse02/index.php,"7,503","5,112",00:00:32,"2,981",11.71%,11.20%,Rs.0.00
/labs/cse02/index.php?section=List of experiments,"7,326","4,419",00:00:22,144,35.42%,6.07%,Rs.0.00
/labs/cse09/index.php,"6,550","4,509",00:01:44,"3,696",28.52%,24.89%,Rs.0.00
/labs/cse04/index.php,"4,287","3,310",00:00:46,"2,331",15.87%,17.80%,Rs.0.00
/labs/emt/index.php,"3,779","2,544",00:01:13,"1,520",32.83%,27.44%,Rs.0.00
/labs/cse04/index.php?section=List of experiments,"3,657","2,483",00:00:25,49,14.29%,7.03%,Rs.0.00
/labs/cse19/index.php,"3,486","2,404",00:00:49,"1,635",17.49%,14.86%,Rs.0.00
/labs/cse19/index.php?section=List of experiments,"3,448","2,011",00:03:07,148,54.73%,38.78%,Rs.0.00
/index.php?section=Elec. and Comm. Engg.,"3,257","2,064",00:00:31,118,32.20%,14.83%,Rs.0.00
/labs/cse18/index.php,"2,972","2,123",00:00:40,"1,224",9.31%,11.14%,Rs.0.00
/labs/cse18/index.php?section=List of experiments,"2,910","1,862",00:00:25,108,29.63%,7.84%,Rs.0.00
/labs/eerc01/exp1/index.php,"2,602","1,939",00:00:59,"1,151",15.38%,13.76%,Rs.0.00
/index.php?section=Civil Engg.,"2,563","1,487",00:00:56,168,22.02%,15.26%,Rs.0.00
/labs/cse11/index.php,"2,459","1,700",00:00:51,"1,044",19.73%,16.88%,Rs.0.00
/labs/cse09/exp1/index.html,"2,406","1,820",00:02:19,142,48.59%,28.64%,Rs.0.00
/labs/cse05/index.php,"2,359","1,752",00:03:04,"1,607",55.38%,49.72%,Rs.0.00
/labs/eerc01/index.php?section=List of experiments,"2,338","1,163",00:00:19,65,38.46%,5.39%,Rs.0.00
/labs/eerc01/index.php,"2,336","1,432",00:00:38,848,23.58%,16.01%,Rs.0.00
/labs/emt/experiments.php,"2,285","1,415",00:00:52,63,41.27%,14.53%,Rs.0.00
/labs/cse11/index.php?section=List of experiments,"2,223","1,292",00:00:32,40,22.50%,11.16%,Rs.0.00
/labs/eerc01/exp1/index.php?section=Experiment,"2,072","1,394",00:01:59,85,51.76%,23.94%,Rs.0.00
/labs/cse01/exp1/index.php,"1,851","1,482",00:00:30,22,27.27%,5.67%,Rs.0.00
/labs/cse01/exp3/index.php?section=Simulation,"1,808","1,057",00:00:35,44,22.73%,5.48%,Rs.0.00
/index.php?section=Chemical Sciences,"1,790","1,111",00:01:03,73,38.36%,23.35%,Rs.0.00
/labs/cse01/exp3/index.php,"1,645","1,226",00:00:18,11,45.45%,2.49%,Rs.0.00
/labs/cse02/exp1/index.php,"1,587","1,291",00:00:50,28,39.29%,10.46%,Rs.0.00
/labs/cse01/exp1/index.php?section=Simulation,"1,540","1,046",00:00:22,12,50.00%,4.87%,Rs.0.00
/labs/cse09/index.html,"1,396",759,00:01:01,126,24.60%,14.33%,Rs.0.00
/labs/eerc03/exp1/index.php,"1,392","1,020",00:00:53,527,14.80%,10.92%,Rs.0.00
/labs/cse02/exp4/index.php,"1,301","1,014",00:00:26,15,40.00%,6.00%,Rs.0.00
/labs/cse02/exp4/index.php?section=Experiment,"1,241",770,00:02:55,52,51.92%,26.59%,Rs.0.00
/labs/cse02/exp1/index.php?section=Experiment,"1,213",759,00:02:24,42,38.10%,23.08%,Rs.0.00
/index.php?section=Welcome!,"1,169",838,00:00:49,41,26.83%,24.55%,Rs.0.00
/labs/cse09/php/login-form.php?expid=1,"1,144",526,00:00:58,33,18.18%,12.94%,Rs.0.00
/labs/eerc03/index.php?section=List of experiments,"1,141",555,00:00:18,11,27.27%,4.21%,Rs.0.00
/labs/eerc03/exp1/index.php?section=Experiment,"1,138",730,00:02:15,32,43.75%,19.68%,Rs.0.00
/labs/cse04/exp1/index.php,"1,136",942,00:01:21,11,54.55%,19.72%,Rs.0.00
/labs/eerc03/index.php,"1,130",648,00:00:26,202,11.39%,6.99%,Rs.0.00
/labs/cse01/exp2/index.php,"1,114",878,00:00:19,21,47.62%,4.04%,Rs.0.00
/labs/cse01/index.php?section=Introduction,"1,108",772,00:00:26,10,20.00%,5.60%,Rs.0.00
/labs/cse01/exp2/index.php?section=Simulation,"1,086",690,00:00:35,27,29.63%,7.27%,Rs.0.00
/labs/cse02/index.php?section=Introduction,"1,071",802,00:00:20,61,22.95%,7.84%,Rs.0.00
/labs/cse20/index.php,985,714,00:00:47,316,16.14%,13.40%,Rs.0.00
/labs/eerc01/exp2/index.php,921,722,00:00:47,221,32.13%,14.22%,Rs.0.00
/labs/emt/Experiment.php?code=C001,884,690,00:00:55,22,22.73%,10.41%,Rs.0.00
/labs/cse18/exp1/index.php,879,703,00:00:27,12,16.67%,7.39%,Rs.0.00
/labs/eerc02/exp1/index.php,875,670,00:00:51,364,13.19%,10.63%,Rs.0.00
/labs/cse01/index.php?section=Courses Aligned,868,678,00:00:17,13,23.08%,6.45%,Rs.0.00
/labs/cse01/exp3/quick.html,864,594,00:02:01,8,62.50%,16.20%,Rs.0.00
/labs/cse20/index.php?section=Experiments,857,554,00:00:23,7,42.86%,8.63%,Rs.0.00
/labs/cse02/index.php?section=Courses Aligned,843,663,00:00:21,7,42.86%,9.02%,Rs.0.00
/labs/emt/Experiment.php?tid=T005&code=C001,842,527,00:02:44,22,27.27%,34.20%,Rs.0.00
/labs/cse02/exp5/index.php,829,637,00:00:19,7,28.57%,4.70%,Rs.0.00
/labs/cse01/exp5/index.php?section=Simulation,816,506,00:00:30,16,56.25%,5.27%,Rs.0.00
/labs/cse01/exp5/index.php,810,621,00:00:16,9,44.44%,4.57%,Rs.0.00
/labs/cse01/exp7/DFS_BFS.html,810,377,00:02:18,7,57.14%,15.93%,Rs.0.00
/labs/cse02/exp2/index.php,792,625,00:00:23,12,33.33%,5.05%,Rs.0.00
/labs/cse02/exp5/index.php?section=Experiment,784,520,00:03:58,39,46.15%,28.95%,Rs.0.00
/labs/eerc04/exp2/index.php,772,575,00:00:43,245,13.06%,11.79%,Rs.0.00
/labs/cse01/exp3/index.php?section=Theory,763,510,00:01:07,6,0.00%,9.96%,Rs.0.00
/labs/cse13/index.php,754,579,00:00:51,382,24.87%,21.22%,Rs.0.00
/labs/cse04/index.php?section=Introduction,751,548,00:00:20,13,15.38%,8.52%,Rs.0.00
/labs/cse01/exp1/index.php?section=Theory,745,546,00:00:30,5,0.00%,4.43%,Rs.0.00
/labs/eerc02/index.php?section=List of experiments,745,305,00:00:23,11,18.18%,3.76%,Rs.0.00
/labs/cse01/exp7/index.php,743,568,00:00:17,7,85.71%,4.44%,Rs.0.00
/labs/cse01/exp7/index.php?section=Simulation,743,444,00:00:24,11,27.27%,3.63%,Rs.0.00
/labs/cse01/exp3/insertion.html,742,359,00:02:17,10,60.00%,12.40%,Rs.0.00
/labs/eerc03/exp5/index.php,740,565,00:00:42,167,9.58%,8.51%,Rs.0.00
/labs/cse01/index.php?section=Target Audience,738,588,00:00:24,2,50.00%,5.56%,Rs.0.00
/labs/eerc04/index.php?section=List of experiments,732,373,00:00:31,37,32.43%,7.24%,Rs.0.00
/labs/ccnsb02/index.html,730,533,00:01:28,404,45.30%,37.12%,Rs.0.00
/labs/cse02/index.php?section=Target Audience,729,584,00:00:16,7,42.86%,6.72%,Rs.0.00
/labs/cse18/exp1/index.php?section=Experiment,722,483,00:01:28,11,45.45%,20.64%,Rs.0.00
/labs/cse11/Integers/index.php,715,449,00:00:41,14,35.71%,7.97%,Rs.0.00
/labs/cse01/exp9/index.php?section=Simulation,700,425,00:00:22,10,40.00%,4.00%,Rs.0.00
/labs/cse01/exp2/calc3.html,695,494,00:02:03,17,64.71%,20.29%,Rs.0.00
/labs/cse11/Integers/index.php?section=Experiment,691,321,00:01:36,11,18.18%,12.16%,Rs.0.00
/labs/eerc04/index.php,691,430,00:00:32,113,17.70%,10.27%,Rs.0.00
/labs/cse01/exp1/UnarySystem.html,689,553,00:01:18,10,60.00%,16.26%,Rs.0.00
/labs/cse01/exp3/merge.html,670,338,00:02:31,12,33.33%,10.30%,Rs.0.00
/labs/cse01/exp5/binarySearchTree.html,669,377,00:01:55,8,62.50%,18.83%,Rs.0.00
/labs/eerc01/exp3/index.php,666,528,00:00:37,89,16.85%,7.66%,Rs.0.00
/labs/cse01/exp9/MinimumSpanningTree.html,662,364,00:02:59,5,80.00%,25.98%,Rs.0.00
/labs/cse01/exp9/index.php,661,541,00:00:25,15,46.67%,5.75%,Rs.0.00
/labs/cse09/exp2/index.html,661,541,00:02:00,27,55.56%,24.51%,Rs.0.00
/labs/cse01/index.php?section=Prerequisite S/W,652,525,00:00:19,6,33.33%,7.67%,Rs.0.00
/labs/eerc01/exp4/index.php,644,514,00:01:03,114,15.79%,9.16%,Rs.0.00
/labs/eerc02/index.php,644,344,00:00:20,122,4.92%,5.12%,Rs.0.00
/labs/cse01/exp1/index.php?section=Objective,643,485,00:00:15,2,0.00%,2.49%,Rs.0.00
/labs/cse02/exp2/index.php?section=Experiment,634,434,00:02:05,32,53.12%,28.23%,Rs.0.00
/labs/eerc02/exp1/index.php?section=Experiment,596,419,00:01:38,6,33.33%,21.48%,Rs.0.00
/labs/cse01/exp6/index.php,586,446,00:00:22,17,58.82%,4.27%,Rs.0.00
/labs/eerc01/exp1/index.php?section=Manual,585,428,00:00:55,8,37.50%,11.28%,Rs.0.00
/labs/eerc01/exp1/index.php?section=Theory,580,434,00:01:00,11,18.18%,7.93%,Rs.0.00
