URL,Overall_Score,Make fewer HTTP requests,Use a Content Delivery Network (CDN),Avoid empty src or href,Add Expires headers,Compress components with gzip,Put CSS at top,Put JavaScript at bottom,Avoid CSS expressions,Reduce DNS lookups,Minify JavaScript and CSS,Avoid URL redirects,Remove duplicate JavaScript and CSS,Configure entity tags (ETags),Make AJAX cacheable,Use GET for AJAX requests,Reduce the number of DOM elements,Avoid HTTP 404 (Not Found) error,Reduce cookie size,Use cookie-free domains,Avoid AlphaImageLoader filter,Do not scale images in HTML,Make favicon small and cacheable
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/2pf1.php,A(97),A(100),A(90),A(100),C(78),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),B(89),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/2pf2.php,A(90),A(100),E(50),A(100),F(34),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(45),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/2pf3.php,B(88),A(100),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(34),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/2pf4.php,A(97),A(100),A(90),A(100),C(78),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),B(89),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/2pf5.php,A(95),A(100),B(80),A(100),D(67),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),C(78),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/2pf6.php,A(92),A(100),D(60),A(100),F(45),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),C(78),A(100),A(100),A(100),B(85),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/2pf7.php,B(89),A(100),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(34),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/content.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/default.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/chem01/2pf/index.html,B(83),A(96),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
