URL,Overall_Score,Make fewer HTTP requests,Use a Content Delivery Network (CDN),Avoid empty src or href,Add Expires headers,Compress components with gzip,Put CSS at top,Put JavaScript at bottom,Avoid CSS expressions,Reduce DNS lookups,Minify JavaScript and CSS,Avoid URL redirects,Remove duplicate JavaScript and CSS,Configure entity tags (ETags),Make AJAX cacheable,Use GET for AJAX requests,Reduce the number of DOM elements,Avoid HTTP 404 (Not Found) error,Reduce cookie size,Use cookie-free domains,Avoid AlphaImageLoader filter,Do not scale images in HTML,Make favicon small and cacheable
http://deploy.virtual-labs.ac.in/labs/eee10/content.html,A(93),A(100),C(70),A(100),E(56),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),D(67),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/default.html,A(93),A(100),C(70),A(100),E(56),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),D(67),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp1/content.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp1/default.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp1/index1.html,C(73),F(0),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),F(0),A(100),A(100),A(100),B(80),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp1/index.html,B(83),A(96),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp1_uikit/content.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp1_uikit/default.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp1_uikit/index.html,B(83),A(96),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp2/content.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp2/default.html,B(84),A(100),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp2/index1.html,C(73),F(0),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),F(0),A(100),A(100),A(100),B(80),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/eee10/exp2/index.html,B(83),A(96),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
