URL,Overall_Score,Make fewer HTTP requests,Use a Content Delivery Network (CDN),Avoid empty src or href,Add Expires headers,Compress components with gzip,Put CSS at top,Put JavaScript at bottom,Avoid CSS expressions,Reduce DNS lookups,Minify JavaScript and CSS,Avoid URL redirects,Remove duplicate JavaScript and CSS,Configure entity tags (ETags),Make AJAX cacheable,Use GET for AJAX requests,Reduce the number of DOM elements,Avoid HTTP 404 (Not Found) error,Reduce cookie size,Use cookie-free domains,Avoid AlphaImageLoader filter,Do not scale images in HTML,Make favicon small and cacheable$
http://www.vlab.co.in/,C(77),C(70),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/index.php,C(77),C(70),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),B(80),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=001,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=003,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=002,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=004,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=005,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=006,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=007,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
http://www.vlab.co.in/institute_detail.php?ins=008,C(79),B(88),F(0),A(100),F(0),F(34),A(100),A(100),A(100),A(100),A(90),A(100),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(90)$
