URL,Overall_Score,Make fewer HTTP requests,Use a Content Delivery Network (CDN),Avoid empty src or href,Add Expires headers,Compress components with gzip,Put CSS at top,Put JavaScript at bottom,Avoid CSS expressions,Reduce DNS lookups,Minify JavaScript and CSS,Avoid URL redirects,Remove duplicate JavaScript and CSS,Configure entity tags (ETags),Make AJAX cacheable,Use GET for AJAX requests,Reduce the number of DOM elements,Avoid HTTP 404 (Not Found) error,Reduce cookie size,Use cookie-free domains,Avoid AlphaImageLoader filter,Do not scale images in HTML,Make favicon small and cacheable
http://deploy.virtual-labs.ac.in/labs/cse02/analyticstracking.php,A(97),A(100),A(100),A(100),C(78),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02/content.html,B(87),A(100),F(30),A(100),F(12),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(23),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/about.html,B(82),B(80),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(95),A(90),A(100),A(100),F(45),A(100),A(100),A(100),B(80),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp10/index.html,B(86),B(84),F(10),A(100),F(23),A(100),A(100),A(100),A(100),A(95),A(90),A(100),A(100),D(67),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp10/quiz.html,B(88),B(84),F(20),A(100),F(34),A(100),A(100),A(100),A(100),A(95),A(90),A(100),A(100),C(78),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp10/simulation/index.html,B(86),A(100),F(20),A(100),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(23),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp1/index.html,B(86),B(84),F(30),A(100),F(12),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),E(56),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp1/quiz.html,B(88),B(84),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),D(67),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp1/simulation.html,B(88),B(84),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),D(67),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp1/simulation/index.html,B(86),A(100),F(20),A(100),F(1),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(23),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp2/index.html,B(88),B(84),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),D(67),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp2/quiz.html,B(88),B(84),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),D(67),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp2/simulation/index.html,B(83),A(91),F(0),A(100),F(0),A(100),A(100),A(100),A(100),A(100),A(100),A(100),A(100),F(0),A(100),A(100),A(100),A(95),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp3/index.html,B(86),B(84),F(30),A(100),F(12),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),E(56),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp3/quiz.html,B(88),B(84),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),D(67),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
http://deploy.virtual-labs.ac.in/labs/cse02-CP/exp3/simulation.html,B(88),B(84),F(40),A(100),F(23),A(100),A(100),A(100),A(100),A(100),A(90),A(100),A(100),D(67),A(100),A(100),A(100),A(90),A(100),A(100),A(100),A(100),A(90)
